customer_id,RECENCY,FREQUENCY,MONETARY,r_score,f_score,m_score,r_rank,f_rank,m_rank,Segmentation
34108,13,9,2645473,0.30232342,0.405947955,0.312918216,2,2,2,Loyal Customers
35376,160,10,2643250,0.689498141,0.38429368,0.313011152,3,2,2,Potential Customers
39358,40,7,2639900,0.477973978,0.453345725,0.313104089,2,2,2,Loyal Customers
29416,16,8,2635356,0.33401487,0.426858736,0.313197026,2,2,2,Loyal Customers
49762,29,14,2634550,0.42936803,0.322026022,0.313289963,2,2,2,Loyal Customers
48837,19,25,2633892,0.364405204,0.22964684,0.3133829,2,1,2,VIP Customers
22942,15,13,2624969,0.323327138,0.335130112,0.313475836,2,2,2,Loyal Customers
34991,16,14,2619679,0.33401487,0.322026022,0.313568773,2,2,2,Loyal Customers
11645,89,14,2616766,0.592007435,0.322026022,0.31366171,3,2,2,Potential Customers
35873,47,5,2615100,0.503159851,0.528066914,0.313754647,3,3,2,Lost Customers
47761,6,18,2614037,0.184572491,0.279739777,0.313847584,1,2,2,VIP Customers
38863,3,15,2607655,0.117193309,0.310687732,0.31394052,1,2,2,VIP Customers
51892,141,35,2607400,0.653624535,0.185037175,0.314033457,3,1,2,Loyal Customers
2600,29,18,2606671,0.42936803,0.279739777,0.314126394,2,2,2,Loyal Customers
24444,285,19,2605000,0.74535316,0.27035316,0.314219331,3,2,2,Potential Customers
2430,304,37,2603790,0.753717472,0.178531599,0.314312268,4,1,2,Potential Customers
56979,3,18,2600000,0.117193309,0.279739777,0.314405204,1,2,2,VIP Customers
2471,6,9,2600000,0.184572491,0.405947955,0.314405204,1,2,2,VIP Customers
8645,47,4,2600000,0.503159851,0.578624535,0.314405204,3,3,2,Lost Customers
55854,84,3,2600000,0.580947955,0.647769517,0.314405204,3,3,2,Lost Customers
1030,44,7,2599700,0.492193309,0.453345725,0.314776952,2,2,2,Loyal Customers
42570,1,13,2599491,0.050185874,0.335130112,0.314869888,1,2,2,VIP Customers
56184,13,20,2596300,0.30232342,0.262453532,0.314962825,2,2,2,Loyal Customers
37952,19,28,2595914,0.364405204,0.21598513,0.315055762,2,1,2,VIP Customers
52241,12,18,2584680,0.292936803,0.279739777,0.315148699,2,2,2,Loyal Customers
35747,43,13,2583480,0.488475836,0.335130112,0.315241636,2,2,2,Loyal Customers
31873,11,16,2577500,0.282899628,0.299814126,0.315334572,2,2,2,Loyal Customers
